Species
Lucilia sericata
Ocypus ophthalmicus
Chorthippus vagans
Peridinium quadridentatum
Cortinarius croceocaeruleus
Contarinia pyrivora
Philonthus coprophilus
Chaetogaster diaphanus
Carex hartmaniorum
Platypalpus interstinctus
Exobasidium juelianum
Phytodietus variegatus
Osmunda regalis
Stenurella bifasciata
Neobisnius villosulus
Lepthyphantes minutus
Taraxacum ristingense
Bacidia neosquamulosa
Lithodesmium undulatum
Calypogeia arguta
Philocheras bispinosus
Clambus pubescens
Faxonius rusticus
Stenus kiesenwetteri
Ephemerum minutissimum
Pocadius ferrugineus
Psilocybe semilanceata
Erythromma najas
Frankliniella schultzei
Perilissus rufoniger
Glyptotendipes gripekoveni
Synchaeta stylata
Glypta teres
Philonthus umbratilis
Neolimnophila placida
Cortinarius falsosus
Prochoreutis sehestediana
Carex strigosa
Galerucella tenella
Iophon piceum
Bracon caudiger
Hybomitra lundbecki
Eupithecia subfuscata
Badister peltatus
Cytisus scoparius
Symphoricarpos albus
Platylabus dolorosus
Carabodes ornatus
Anteris scutellaris
Porrhomma montanum
